Label,Resin,ResinAmount,Solvent,SolventAmount,dD,dP,dH,Initiator,Result,ResultRevised,LabId,PrepTaskId,PrepByThread,PrepStart,PrepEnd,PrepProtocolId,ImageTaskId,ImageByThread,ImageStart,ImageEnd,ImageProtocolId
R9:S3-r5.00:s5.00,R9,5.0,S3,5.0,18.0,1.4,2.0,explore+,Y,0,id:WNa4ZjaLzXaz,prep:c63c5d4ac1ac02209339d5886c50a858,thread3,2024-10-06T02:00:31.732630-04:00,2024-10-06T13:12:44-04:00,id:Vrbp1jvD1XXW,image:2766eac61ad8f4b4e34a14b17f72381e,thread3,2024-10-07T18:55:47.740938-04:00,2024-10-07T19:55:32.440152-04:00,id:Z1lqpMr6wAr0
R9:S22-r5.00:s5.00,R9,5.0,S22,5.0,14.5,2.9,4.6,explore+,Y,1,id:54n6evnAWqnG,prep:c63c5d4ac1ac02209339d5886c50a858,thread3,2024-10-06T02:00:31.732630-04:00,2024-10-06T13:12:44-04:00,id:Vrbp1jvD1XXW,image:2766eac61ad8f4b4e34a14b17f72381e,thread3,2024-10-07T18:55:47.740938-04:00,2024-10-07T19:55:32.440152-04:00,id:Z1lqpMr6wAr0
R9:S1-r5.00:s5.00,R9,5.0,S1,5.0,16.0,9.0,5.1,explore+,Y,0,id:J8AY5jAevKD9,prep:5e064c36a28b4ce1f7dc897518390dfb,thread3,2024-10-12T10:36:55.871347-04:00,2024-10-13T10:34:58-04:00,id:eGaklde4b7XG,image:a83a5d728469029b01221186ea4be33f,thread3,2024-10-14T20:01:07.746817-04:00,2024-10-15T18:01:54.886174-04:00,id:o1k9jAoKkorA
R9:S2-r5.00:s5.00,R9,5.0,S2,5.0,14.9,0.0,0.0,explore+,Y,0,id:jLq9jXqMA8qZ,prep:5e064c36a28b4ce1f7dc897518390dfb,thread3,2024-10-12T10:36:55.871347-04:00,2024-10-13T10:34:58-04:00,id:eGaklde4b7XG,image:a83a5d728469029b01221186ea4be33f,thread3,2024-10-14T20:01:07.746817-04:00,2024-10-15T18:01:54.886174-04:00,id:o1k9jAoKkorA
R9:S5-r5.00:s5.00,R9,5.0,S5,5.0,15.3,18.0,6.1,explore+,Y,0,id:bq9LA09raYJv,prep:5e064c36a28b4ce1f7dc897518390dfb,thread3,2024-10-12T10:36:55.871347-04:00,2024-10-13T10:34:58-04:00,id:eGaklde4b7XG,image:a83a5d728469029b01221186ea4be33f,thread3,2024-10-14T20:01:07.746817-04:00,2024-10-15T18:01:54.886174-04:00,id:o1k9jAoKkorA
R9:S10-r5.00:s5.00,R9,5.0,S10,5.0,15.8,3.7,6.3,explore+,Y,0,id:KBL5DvLpRjwk,prep:5e064c36a28b4ce1f7dc897518390dfb,thread3,2024-10-12T10:36:55.871347-04:00,2024-10-13T10:34:58-04:00,id:eGaklde4b7XG,image:a83a5d728469029b01221186ea4be33f,thread3,2024-10-14T20:01:07.746817-04:00,2024-10-15T18:01:54.886174-04:00,id:o1k9jAoKkorA
R9:S12-r5.00:s5.00,R9,5.0,S12,5.0,16.0,6.8,17.4,explore+,Y,0,id:rea9jlaMZ0Ro,prep:5e064c36a28b4ce1f7dc897518390dfb,thread3,2024-10-12T10:36:55.871347-04:00,2024-10-13T10:34:58-04:00,id:eGaklde4b7XG,image:a83a5d728469029b01221186ea4be33f,thread3,2024-10-14T20:01:07.746817-04:00,2024-10-15T18:01:54.886174-04:00,id:o1k9jAoKkorA
R9:S14-r5.00:s5.00,R9,5.0,S14,5.0,15.6,5.6,9.8,explore+,Y,0,id:8qZ1VWZlzG0X,prep:5e064c36a28b4ce1f7dc897518390dfb,thread3,2024-10-12T10:36:55.871347-04:00,2024-10-13T10:34:58-04:00,id:eGaklde4b7XG,image:a83a5d728469029b01221186ea4be33f,thread3,2024-10-14T20:01:07.746817-04:00,2024-10-15T18:01:54.886174-04:00,id:o1k9jAoKkorA
R9:S21-r5.00:s5.00,R9,5.0,S21,5.0,16.2,5.1,9.2,explore+,Y,0,id:pZx9joOnxLE9,prep:ef7c5b43bd8761d67a4a54cde51adad0,thread3,2024-10-15T18:25:55.603786-04:00,2024-10-18T23:42:16-04:00,id:xRO9n3EvekxO,image:8c6ec50f86e0a4c1d61db0793f390420,thread3,2024-10-20T00:09:44.124242-04:00,2024-10-20T01:32:30.998928-04:00,id:9RdZXvNKZ5e6
R9:S5:S17-r5.00:s2.00:s3.00,R9,5.0,S5:S17,2.00:3.00,16.92,14.58,6.76,explore+,Y,0,id:Z1lqpMrGlEKW,prep:ef7c5b43bd8761d67a4a54cde51adad0,thread3,2024-10-15T18:25:55.603786-04:00,2024-10-18T23:42:16-04:00,id:xRO9n3EvekxO,image:8c6ec50f86e0a4c1d61db0793f390420,thread3,2024-10-20T00:09:44.124242-04:00,2024-10-20T01:32:30.998928-04:00,id:9RdZXvNKZ5e6
