Filename,Sample,MD5,Result,ResultRevised,HumanResult,CvResult,NInterfaces,NDetected,NCorrect,NMissing,NMissingLabel,NMissingBg,NMissingWeakSignal,NIncorrect,NIncorrectLabel,NIncorrectBg,NIncorrectDuplicate
R10S5-r5.00s5.00,R10:S5-r5.00:s5.00,2c42bd7e5819eeb459cd4ea75cbc226c,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R10S5S8-r5.00s3.00s2.00,R10:S5:S8-r5.00:s3.00:s2.00,fea6a7d38d31e0a67bedefb35d373dc6,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R10S5S16-r5.00s1.00s4.00,R10:S5:S16-r5.00:s1.00:s4.00,6679b96ba6e3951ad86b70b746886c48,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R10S5S17-r5.00s2.00s3.00,R10:S5:S17-r5.00:s2.00:s3.00,2b649e39f41e5f61e3e37e9d705bfa90,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R10S6-r5.00s5.00,R10:S6-r5.00:s5.00,aa87d480a4b2747fbd8080ae4b696b13,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R10S6S16-r5.00s3.00s2.00,R10:S6:S16-r5.00:s3.00:s2.00,214e04318b57b43ae4351c0c656200c8,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R10S7S8-r5.00s3.00s2.00,R10:S7:S8-r5.00:s3.00:s2.00,bddffe41602b42af55939fc6fdde9b11,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R10S7S19-r5.00s3.00s2.00,R10:S7:S19-r5.00:s3.00:s2.00,e53d7b7ad3cad0eb633dae7f1df4522f,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R10S8-r5.00s5.00,R10:S8-r5.00:s5.00,7121d476936c54c46736716bb44beaba,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R10S9-r5.00s5.00,R10:S9-r5.00:s5.00,8365e64d7588664eee053539e280e5f6,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R10S12-r5.00s5.00,R10:S12-r5.00:s5.00,804c58b17db1fda524ed412d11bddbf1,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R10S13S15-r5.00s3.00s2.00,R10:S13:S15-r5.00:s3.00:s2.00,665d54b4d1979ce4a75440498b26f02d,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R10S14-r5.00s5.00,R10:S14-r5.00:s5.00,1f12bddedd588572aaaac7f884aaf9eb,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
